   ELEMENT       X-STR          Y-STR          XY-STR
    236        0.234E+03      0.151E+01     -0.317E+01
    237        0.233E+03     -0.158E+01      0.441E+01
    238        0.252E+03      0.157E+01     -0.348E+01
    239        0.252E+03     -0.158E+01      0.405E+01
    240        0.271E+03      0.160E+01     -0.382E+01
    241       -0.271E+03     -0.116E+02      0.415E+01
    242       -0.251E+03     -0.840E+01     -0.387E+01
    243       -0.252E+03     -0.114E+02      0.429E+01
    244       -0.233E+03     -0.832E+01     -0.361E+01
    245       -0.233E+03     -0.112E+02      0.445E+01
    246       -0.214E+03     -0.816E+01     -0.336E+01
    247       -0.215E+03     -0.109E+02      0.464E+01
    248       -0.196E+03     -0.794E+01     -0.311E+01
    249       -0.197E+03     -0.107E+02      0.483E+01
    250       -0.178E+03     -0.768E+01     -0.287E+01
    251       -0.179E+03     -0.104E+02      0.503E+01
    252       -0.160E+03     -0.738E+01     -0.264E+01
    253       -0.160E+03     -0.100E+02      0.521E+01
    254       -0.142E+03     -0.704E+01     -0.243E+01
    255       -0.142E+03     -0.966E+01      0.538E+01
    256       -0.124E+03     -0.668E+01     -0.224E+01
    257       -0.125E+03     -0.927E+01      0.553E+01
    258       -0.106E+03     -0.629E+01     -0.207E+01
    259       -0.107E+03     -0.885E+01      0.565E+01
    260       -0.884E+02     -0.587E+01     -0.192E+01
    261       -0.889E+02     -0.841E+01      0.576E+01
    262       -0.707E+02     -0.542E+01     -0.180E+01
    263       -0.711E+02     -0.795E+01      0.585E+01
    264       -0.529E+02     -0.496E+01     -0.169E+01
    265       -0.534E+02     -0.747E+01      0.592E+01
    266       -0.352E+02     -0.449E+01     -0.162E+01
    267       -0.356E+02     -0.699E+01      0.597E+01
    268       -0.175E+02     -0.400E+01     -0.156E+01
    269       -0.180E+02     -0.649E+01      0.600E+01
    270        0.151E+00     -0.350E+01     -0.153E+01
    271       -0.266E+00     -0.600E+01      0.602E+01
    272        0.178E+02     -0.300E+01     -0.151E+01
    273        0.174E+02     -0.550E+01      0.601E+01
    274        0.355E+02     -0.250E+01     -0.152E+01
    275        0.351E+02     -0.501E+01      0.599E+01
    276        0.533E+02     -0.200E+01     -0.156E+01
    277        0.528E+02     -0.453E+01      0.595E+01
    278        0.710E+02     -0.152E+01     -0.161E+01
    279        0.706E+02     -0.407E+01      0.590E+01
    280        0.888E+02     -0.105E+01     -0.168E+01
    281        0.884E+02     -0.362E+01      0.583E+01
    282        0.107E+03     -0.600E+00     -0.177E+01
    283        0.106E+03     -0.320E+01      0.574E+01
    284        0.125E+03     -0.177E+00     -0.188E+01
    285        0.124E+03     -0.282E+01      0.563E+01
    286        0.142E+03      0.214E+00     -0.202E+01
    287        0.142E+03     -0.247E+01      0.551E+01
    288        0.161E+03      0.566E+00     -0.217E+01
    289        0.160E+03     -0.218E+01      0.537E+01
    290        0.179E+03      0.872E+00     -0.235E+01
    291        0.178E+03     -0.194E+01      0.521E+01
    292        0.197E+03      0.112E+01     -0.256E+01
    293        0.196E+03     -0.178E+01      0.500E+01
    294        0.215E+03      0.132E+01     -0.281E+01
    295        0.215E+03     -0.169E+01      0.475E+01
    296        0.234E+03      0.145E+01     -0.311E+01
    297        0.233E+03     -0.165E+01      0.444E+01
    298        0.252E+03      0.154E+01     -0.346E+01
    299        0.251E+03     -0.161E+01      0.409E+01
    300        0.270E+03      0.160E+01     -0.382E+01
    301       -0.270E+03     -0.116E+02      0.418E+01
    302       -0.251E+03     -0.841E+01     -0.381E+01
    303       -0.252E+03     -0.115E+02      0.443E+01
    304       -0.233E+03     -0.834E+01     -0.347E+01
    305       -0.233E+03     -0.113E+02      0.466E+01
    306       -0.214E+03     -0.820E+01     -0.316E+01
    307       -0.215E+03     -0.110E+02      0.490E+01
    308       -0.196E+03     -0.800E+01     -0.286E+01
    309       -0.196E+03     -0.107E+02      0.513E+01
    310       -0.178E+03     -0.774E+01     -0.258E+01
    311       -0.178E+03     -0.104E+02      0.535E+01
    312       -0.160E+03     -0.744E+01     -0.231E+01
    313       -0.160E+03     -0.101E+02      0.556E+01
    314       -0.142E+03     -0.710E+01     -0.207E+01
    315       -0.142E+03     -0.971E+01      0.576E+01
    316       -0.124E+03     -0.673E+01     -0.185E+01
    317       -0.124E+03     -0.931E+01      0.593E+01
    318       -0.106E+03     -0.634E+01     -0.165E+01
    319       -0.107E+03     -0.889E+01      0.608E+01
    320       -0.883E+02     -0.591E+01     -0.148E+01
    321       -0.887E+02     -0.844E+01      0.621E+01
    322       -0.706E+02     -0.546E+01     -0.134E+01
    323       -0.710E+02     -0.798E+01      0.632E+01
    324       -0.529E+02     -0.500E+01     -0.122E+01
    325       -0.533E+02     -0.750E+01      0.640E+01
    326       -0.352E+02     -0.452E+01     -0.113E+01
    327       -0.356E+02     -0.701E+01      0.646E+01
    328       -0.175E+02     -0.403E+01     -0.106E+01
    329       -0.179E+02     -0.652E+01      0.650E+01
    330        0.164E+00     -0.353E+01     -0.102E+01
    331       -0.252E+00     -0.602E+01      0.651E+01
    332        0.178E+02     -0.303E+01     -0.101E+01
    333        0.174E+02     -0.552E+01      0.650E+01
    334        0.355E+02     -0.253E+01     -0.102E+01
    335        0.351E+02     -0.504E+01      0.647E+01
    336        0.532E+02     -0.203E+01     -0.106E+01
    337        0.528E+02     -0.456E+01      0.642E+01
    338        0.709E+02     -0.155E+01     -0.113E+01
    339        0.705E+02     -0.410E+01      0.635E+01
    340        0.887E+02     -0.109E+01     -0.122E+01
    341        0.883E+02     -0.367E+01      0.625E+01
    342        0.107E+03     -0.641E+00     -0.134E+01
    343        0.106E+03     -0.326E+01      0.614E+01
    344        0.124E+03     -0.223E+00     -0.148E+01
    345        0.124E+03     -0.288E+01      0.600E+01
    346        0.142E+03      0.163E+00     -0.165E+01
    347        0.142E+03     -0.255E+01      0.583E+01
    348        0.160E+03      0.510E+00     -0.185E+01
    349        0.160E+03     -0.226E+01      0.564E+01
    350        0.178E+03      0.814E+00     -0.208E+01
    351        0.178E+03     -0.203E+01      0.542E+01
    352        0.197E+03      0.107E+01     -0.235E+01
    353        0.196E+03     -0.186E+01      0.515E+01
    354        0.215E+03      0.127E+01     -0.266E+01
    355        0.214E+03     -0.175E+01      0.485E+01
    356        0.233E+03      0.143E+01     -0.301E+01
    357        0.233E+03     -0.168E+01      0.450E+01
    358        0.252E+03      0.154E+01     -0.339E+01
    359        0.251E+03     -0.162E+01      0.414E+01
    360        0.270E+03      0.160E+01     -0.379E+01
    361       -0.270E+03     -0.116E+02      0.421E+01
    362       -0.251E+03     -0.843E+01     -0.376E+01
    363       -0.251E+03     -0.115E+02      0.454E+01
    364       -0.232E+03     -0.836E+01     -0.335E+01
    365       -0.233E+03     -0.113E+02      0.485E+01
    366       -0.214E+03     -0.823E+01     -0.297E+01
    367       -0.214E+03     -0.111E+02      0.514E+01
    368       -0.196E+03     -0.803E+01     -0.262E+01
    369       -0.196E+03     -0.108E+02      0.542E+01
    370       -0.178E+03     -0.778E+01     -0.229E+01
    371       -0.178E+03     -0.105E+02      0.568E+01
    372       -0.160E+03     -0.749E+01     -0.199E+01
    373       -0.160E+03     -0.101E+02      0.592E+01
    374       -0.142E+03     -0.715E+01     -0.171E+01
    375       -0.142E+03     -0.976E+01      0.614E+01
    376       -0.124E+03     -0.678E+01     -0.145E+01
    377       -0.124E+03     -0.935E+01      0.634E+01
    378       -0.106E+03     -0.638E+01     -0.123E+01
    379       -0.106E+03     -0.892E+01      0.652E+01
    380       -0.882E+02     -0.595E+01     -0.104E+01
    381       -0.886E+02     -0.847E+01      0.666E+01
    382       -0.705E+02     -0.550E+01     -0.871E+00
    383       -0.709E+02     -0.801E+01      0.679E+01
    384       -0.528E+02     -0.503E+01     -0.737E+00
    385       -0.532E+02     -0.753E+01      0.688E+01
    386       -0.351E+02     -0.455E+01     -0.633E+00
    387       -0.355E+02     -0.704E+01      0.695E+01
    388       -0.175E+02     -0.406E+01     -0.560E+00
    389       -0.179E+02     -0.654E+01      0.699E+01
    390        0.177E+00     -0.356E+01     -0.518E+00
    391       -0.239E+00     -0.604E+01      0.700E+01
    392        0.178E+02     -0.306E+01     -0.506E+00
    393        0.174E+02     -0.555E+01      0.699E+01
    394        0.355E+02     -0.256E+01     -0.525E+00
    395        0.351E+02     -0.507E+01      0.695E+01
    396        0.531E+02     -0.207E+01     -0.575E+00
    397        0.527E+02     -0.459E+01      0.689E+01
    398        0.708E+02     -0.159E+01     -0.655E+00
    399        0.704E+02     -0.414E+01      0.679E+01
    400        0.886E+02     -0.112E+01     -0.766E+00
    401        0.881E+02     -0.371E+01      0.667E+01
    402        0.106E+03     -0.679E+00     -0.908E+00
    403        0.106E+03     -0.330E+01      0.653E+01
    404        0.124E+03     -0.263E+00     -0.108E+01
    405        0.124E+03     -0.294E+01      0.635E+01
    406        0.142E+03      0.121E+00     -0.129E+01
    407        0.142E+03     -0.261E+01      0.615E+01
    408        0.160E+03      0.467E+00     -0.153E+01
    409        0.160E+03     -0.233E+01      0.591E+01
    410        0.178E+03      0.772E+00     -0.181E+01
    411        0.178E+03     -0.209E+01      0.563E+01
    412        0.196E+03      0.103E+01     -0.213E+01
    413        0.196E+03     -0.191E+01      0.532E+01
    414        0.215E+03      0.125E+01     -0.249E+01
    415        0.214E+03     -0.178E+01      0.497E+01
    416        0.233E+03      0.141E+01     -0.289E+01
    417        0.232E+03     -0.169E+01      0.458E+01
    418        0.251E+03      0.153E+01     -0.331E+01
    419        0.251E+03     -0.163E+01      0.418E+01
    420        0.270E+03      0.161E+01     -0.376E+01
    421       -0.269E+03     -0.116E+02      0.423E+01
    422       -0.250E+03     -0.844E+01     -0.371E+01
    423       -0.251E+03     -0.115E+02      0.464E+01
    424       -0.232E+03     -0.838E+01     -0.323E+01
    425       -0.232E+03     -0.113E+02      0.502E+01
    426       -0.214E+03     -0.825E+01     -0.279E+01
    427       -0.214E+03     -0.111E+02      0.537E+01
    428       -0.195E+03     -0.806E+01     -0.238E+01
    429       -0.196E+03     -0.108E+02      0.569E+01
    430       -0.177E+03     -0.781E+01     -0.200E+01
    431       -0.178E+03     -0.105E+02      0.600E+01
    432       -0.159E+03     -0.752E+01     -0.166E+01
    433       -0.160E+03     -0.102E+02      0.627E+01
    434       -0.141E+03     -0.719E+01     -0.134E+01
    435       -0.142E+03     -0.979E+01      0.653E+01
    436       -0.124E+03     -0.682E+01     -0.106E+01
    437       -0.124E+03     -0.939E+01      0.675E+01
    438       -0.106E+03     -0.642E+01     -0.807E+00
    439       -0.106E+03     -0.896E+01      0.695E+01
    440       -0.880E+02     -0.599E+01     -0.588E+00
    441       -0.884E+02     -0.850E+01      0.712E+01
    442       -0.703E+02     -0.554E+01     -0.404E+00
    443       -0.707E+02     -0.803E+01      0.726E+01
    444       -0.527E+02     -0.507E+01     -0.254E+00
    445       -0.531E+02     -0.755E+01      0.736E+01
    446       -0.350E+02     -0.458E+01     -0.138E+00
    447       -0.354E+02     -0.706E+01      0.744E+01
    448       -0.174E+02     -0.409E+01     -0.576E-01
    449       -0.178E+02     -0.657E+01      0.748E+01
    450        0.189E+00     -0.359E+01     -0.120E-01
    451       -0.226E+00     -0.607E+01      0.750E+01
    452        0.178E+02     -0.309E+01     -0.160E-02
    453        0.174E+02     -0.558E+01      0.748E+01
    454        0.354E+02     -0.259E+01     -0.263E-01
    455        0.350E+02     -0.510E+01      0.743E+01
    456        0.531E+02     -0.210E+01     -0.864E-01
    457        0.526E+02     -0.463E+01      0.735E+01
    458        0.707E+02     -0.162E+01     -0.182E+00
    459        0.703E+02     -0.417E+01      0.724E+01
    460        0.884E+02     -0.115E+01     -0.313E+00
    461        0.880E+02     -0.375E+01      0.709E+01
    462        0.106E+03     -0.713E+00     -0.480E+00
    463        0.106E+03     -0.335E+01      0.692E+01
    464        0.124E+03     -0.298E+00     -0.685E+00
    465        0.124E+03     -0.298E+01      0.671E+01
    466        0.142E+03      0.862E-01     -0.927E+00
    467        0.141E+03     -0.265E+01      0.646E+01
    468        0.160E+03      0.434E+00     -0.121E+01
    469        0.159E+03     -0.237E+01      0.618E+01
    470        0.178E+03      0.743E+00     -0.153E+01
    471        0.177E+03     -0.213E+01      0.585E+01
    472        0.196E+03      0.101E+01     -0.190E+01
