    NODE     X-DISP         Y-DISP
   289     -0.473E-08     -0.345E-06
   290     -0.393E-08     -0.345E-06
   291     -0.314E-08     -0.345E-06
   292     -0.234E-08     -0.345E-06
   293     -0.155E-08     -0.345E-06
   294     -0.758E-09     -0.345E-06
   295      0.333E-10     -0.345E-06
   296      0.825E-09     -0.345E-06
   297      0.162E-08     -0.345E-06
   298      0.241E-08     -0.345E-06
   299      0.320E-08     -0.345E-06
   300      0.400E-08     -0.345E-06
   301      0.480E-08     -0.345E-06
   302      0.560E-08     -0.345E-06
   303      0.640E-08     -0.345E-06
   304      0.721E-08     -0.345E-06
   305      0.802E-08     -0.344E-06
   306      0.884E-08     -0.344E-06
   307      0.966E-08     -0.344E-06
   308      0.105E-07     -0.344E-06
   309      0.113E-07     -0.344E-06
   310      0.122E-07     -0.343E-06
   311     -0.134E-07     -0.343E-06
   312     -0.125E-07     -0.343E-06
   313     -0.116E-07     -0.344E-06
   314     -0.106E-07     -0.344E-06
   315     -0.973E-08     -0.344E-06
   316     -0.883E-08     -0.344E-06
   317     -0.793E-08     -0.344E-06
   318     -0.703E-08     -0.344E-06
   319     -0.614E-08     -0.344E-06
   320     -0.525E-08     -0.344E-06
   321     -0.437E-08     -0.344E-06
   322     -0.348E-08     -0.344E-06
   323     -0.260E-08     -0.344E-06
   324     -0.172E-08     -0.344E-06
   325     -0.841E-09     -0.344E-06
   326      0.374E-10     -0.344E-06
   327      0.916E-09     -0.344E-06
   328      0.180E-08     -0.344E-06
   329      0.268E-08     -0.344E-06
   330      0.356E-08     -0.344E-06
   331      0.444E-08     -0.344E-06
   332      0.533E-08     -0.344E-06
   333      0.622E-08     -0.344E-06
   334      0.711E-08     -0.344E-06
   335      0.801E-08     -0.344E-06
   336      0.891E-08     -0.343E-06
   337      0.981E-08     -0.343E-06
   338      0.107E-07     -0.343E-06
   339      0.116E-07     -0.343E-06
   340      0.126E-07     -0.343E-06
   341      0.135E-07     -0.343E-06
   342     -0.147E-07     -0.342E-06
   343     -0.137E-07     -0.342E-06
   344     -0.127E-07     -0.343E-06
   345     -0.117E-07     -0.343E-06
   346     -0.107E-07     -0.343E-06
   347     -0.970E-08     -0.343E-06
   348     -0.871E-08     -0.343E-06
   349     -0.773E-08     -0.343E-06
   350     -0.675E-08     -0.343E-06
   351     -0.577E-08     -0.343E-06
   352     -0.480E-08     -0.343E-06
   353     -0.383E-08     -0.343E-06
   354     -0.286E-08     -0.343E-06
   355     -0.189E-08     -0.343E-06
   356     -0.924E-09     -0.343E-06
   357      0.416E-10     -0.343E-06
   358      0.101E-08     -0.343E-06
   359      0.197E-08     -0.343E-06
   360      0.294E-08     -0.343E-06
   361      0.391E-08     -0.343E-06
   362      0.488E-08     -0.343E-06
   363      0.586E-08     -0.343E-06
   364      0.683E-08     -0.343E-06
   365      0.781E-08     -0.343E-06
   366      0.880E-08     -0.343E-06
   367      0.979E-08     -0.342E-06
   368      0.108E-07     -0.342E-06
   369      0.118E-07     -0.342E-06
   370      0.128E-07     -0.342E-06
   371      0.138E-07     -0.342E-06
   372      0.148E-07     -0.342E-06
   373     -0.161E-07     -0.341E-06
   374     -0.149E-07     -0.341E-06
   375     -0.138E-07     -0.342E-06
   376     -0.127E-07     -0.342E-06
   377     -0.117E-07     -0.342E-06
   378     -0.106E-07     -0.342E-06
   379     -0.950E-08     -0.342E-06
   380     -0.842E-08     -0.342E-06
   381     -0.735E-08     -0.342E-06
   382     -0.629E-08     -0.342E-06
   383     -0.523E-08     -0.342E-06
   384     -0.417E-08     -0.342E-06
   385     -0.311E-08     -0.342E-06
   386     -0.206E-08     -0.342E-06
   387     -0.101E-08     -0.342E-06
   388      0.458E-10     -0.342E-06
   389      0.110E-08     -0.342E-06
   390      0.215E-08     -0.342E-06
   391      0.321E-08     -0.342E-06
   392      0.426E-08     -0.342E-06
   393      0.532E-08     -0.342E-06
   394      0.638E-08     -0.342E-06
   395      0.745E-08     -0.342E-06
   396      0.852E-08     -0.342E-06
   397      0.959E-08     -0.342E-06
   398      0.107E-07     -0.341E-06
   399      0.118E-07     -0.341E-06
   400      0.128E-07     -0.341E-06
   401      0.139E-07     -0.341E-06
   402      0.151E-07     -0.341E-06
   403      0.162E-07     -0.340E-06
   404     -0.174E-07     -0.340E-06
   405     -0.162E-07     -0.340E-06
   406     -0.150E-07     -0.340E-06
   407     -0.138E-07     -0.341E-06
   408     -0.126E-07     -0.341E-06
   409     -0.114E-07     -0.341E-06
   410     -0.103E-07     -0.341E-06
   411     -0.911E-08     -0.341E-06
   412     -0.796E-08     -0.341E-06
   413     -0.681E-08     -0.341E-06
   414     -0.566E-08     -0.341E-06
   415     -0.451E-08     -0.341E-06
   416     -0.337E-08     -0.341E-06
   417     -0.223E-08     -0.341E-06
   418     -0.109E-08     -0.341E-06
   419      0.500E-10     -0.341E-06
   420      0.119E-08     -0.341E-06
   421      0.233E-08     -0.341E-06
   422      0.347E-08     -0.341E-06
   423      0.461E-08     -0.341E-06
   424      0.576E-08     -0.341E-06
   425      0.691E-08     -0.341E-06
   426      0.806E-08     -0.341E-06
   427      0.922E-08     -0.341E-06
   428      0.104E-07     -0.340E-06
   429      0.115E-07     -0.340E-06
   430      0.127E-07     -0.340E-06
   431      0.139E-07     -0.340E-06
   432      0.151E-07     -0.340E-06
   433      0.163E-07     -0.340E-06
   434      0.175E-07     -0.339E-06
   435     -0.187E-07     -0.339E-06
   436     -0.174E-07     -0.339E-06
   437     -0.161E-07     -0.339E-06
   438     -0.148E-07     -0.339E-06
   439     -0.136E-07     -0.339E-06
   440     -0.123E-07     -0.339E-06
   441     -0.111E-07     -0.340E-06
   442     -0.980E-08     -0.340E-06
   443     -0.856E-08     -0.340E-06
   444     -0.732E-08     -0.340E-06
   445     -0.609E-08     -0.340E-06
   446     -0.485E-08     -0.340E-06
   447     -0.362E-08     -0.340E-06
   448     -0.240E-08     -0.340E-06
   449     -0.117E-08     -0.340E-06
   450      0.543E-10     -0.340E-06
   451      0.128E-08     -0.340E-06
   452      0.251E-08     -0.340E-06
   453      0.373E-08     -0.340E-06
   454      0.496E-08     -0.340E-06
   455      0.620E-08     -0.340E-06
   456      0.743E-08     -0.339E-06
   457      0.867E-08     -0.339E-06
   458      0.992E-08     -0.339E-06
   459      0.112E-07     -0.339E-06
   460      0.124E-07     -0.339E-06
   461      0.137E-07     -0.339E-06
   462      0.150E-07     -0.339E-06
   463      0.162E-07     -0.338E-06
   464      0.175E-07     -0.338E-06
   465      0.188E-07     -0.338E-06
   466     -0.200E-07     -0.337E-06
   467     -0.186E-07     -0.338E-06
   468     -0.172E-07     -0.338E-06
   469     -0.159E-07     -0.338E-06
   470     -0.145E-07     -0.338E-06
   471     -0.132E-07     -0.338E-06
   472     -0.118E-07     -0.338E-06
   473     -0.105E-07     -0.338E-06
   474     -0.916E-08     -0.338E-06
   475     -0.783E-08     -0.338E-06
   476     -0.651E-08     -0.338E-06
   477     -0.519E-08     -0.338E-06
   478     -0.388E-08     -0.339E-06
   479     -0.256E-08     -0.339E-06
   480     -0.125E-08     -0.339E-06
   481      0.586E-10     -0.338E-06
   482      0.137E-08     -0.338E-06
   483      0.268E-08     -0.338E-06
   484      0.400E-08     -0.338E-06
   485      0.531E-08     -0.338E-06
   486      0.663E-08     -0.338E-06
   487      0.795E-08     -0.338E-06
   488      0.928E-08     -0.338E-06
   489      0.106E-07     -0.338E-06
   490      0.119E-07     -0.338E-06
   491      0.133E-07     -0.338E-06
   492      0.146E-07     -0.337E-06
   493      0.160E-07     -0.337E-06
   494      0.174E-07     -0.337E-06
   495      0.187E-07     -0.337E-06
   496      0.201E-07     -0.337E-06
   497     -0.213E-07     -0.336E-06
   498     -0.198E-07     -0.336E-06
   499     -0.184E-07     -0.336E-06
   500     -0.169E-07     -0.336E-06
   501     -0.155E-07     -0.337E-06
   502     -0.140E-07     -0.337E-06
   503     -0.126E-07     -0.337E-06
   504     -0.112E-07     -0.337E-06
   505     -0.976E-08     -0.337E-06
   506     -0.834E-08     -0.337E-06
   507     -0.694E-08     -0.337E-06
   508     -0.553E-08     -0.337E-06
   509     -0.413E-08     -0.337E-06
   510     -0.273E-08     -0.337E-06
   511     -0.133E-08     -0.337E-06
   512      0.629E-10     -0.337E-06
   513      0.146E-08     -0.337E-06
   514      0.286E-08     -0.337E-06
   515      0.426E-08     -0.337E-06
   516      0.566E-08     -0.337E-06
   517      0.706E-08     -0.337E-06
   518      0.847E-08     -0.337E-06
   519      0.989E-08     -0.337E-06
   520      0.113E-07     -0.336E-06
   521      0.127E-07     -0.336E-06
   522      0.142E-07     -0.336E-06
   523      0.156E-07     -0.336E-06
   524      0.170E-07     -0.336E-06
   525      0.185E-07     -0.336E-06
   526      0.200E-07     -0.335E-06
   527      0.215E-07     -0.335E-06
   528     -0.226E-07     -0.335E-06
   529     -0.211E-07     -0.335E-06
   530     -0.195E-07     -0.335E-06
   531     -0.179E-07     -0.335E-06
   532     -0.164E-07     -0.335E-06
   533     -0.149E-07     -0.335E-06
   534     -0.134E-07     -0.335E-06
   535     -0.119E-07     -0.335E-06
   536     -0.104E-07     -0.335E-06
   537     -0.885E-08     -0.335E-06
   538     -0.736E-08     -0.335E-06
   539     -0.587E-08     -0.336E-06
   540     -0.438E-08     -0.336E-06
   541     -0.290E-08     -0.336E-06
   542     -0.141E-08     -0.336E-06
   543      0.672E-10     -0.336E-06
   544      0.155E-08     -0.335E-06
   545      0.303E-08     -0.335E-06
   546      0.452E-08     -0.335E-06
   547      0.600E-08     -0.335E-06
   548      0.749E-08     -0.335E-06
   549      0.899E-08     -0.335E-06
   550      0.105E-07     -0.335E-06
   551      0.120E-07     -0.335E-06
   552      0.135E-07     -0.335E-06
   553      0.150E-07     -0.335E-06
   554      0.166E-07     -0.335E-06
   555      0.181E-07     -0.334E-06
   556      0.196E-07     -0.334E-06
   557      0.212E-07     -0.334E-06
   558      0.228E-07     -0.334E-06
   559     -0.239E-07     -0.333E-06
   560     -0.223E-07     -0.333E-06
   561     -0.206E-07     -0.333E-06
   562     -0.190E-07     -0.333E-06
   563     -0.174E-07     -0.333E-06
   564     -0.157E-07     -0.334E-06
   565     -0.141E-07     -0.334E-06
   566     -0.125E-07     -0.334E-06
   567     -0.109E-07     -0.334E-06
   568     -0.936E-08     -0.334E-06
   569     -0.778E-08     -0.334E-06
   570     -0.620E-08     -0.334E-06
   571     -0.463E-08     -0.334E-06
   572     -0.306E-08     -0.334E-06
   573     -0.150E-08     -0.334E-06
   574      0.716E-10     -0.334E-06
   575      0.164E-08     -0.334E-06
   576      0.321E-08     -0.334E-06
   577      0.478E-08     -0.334E-06
   578      0.635E-08     -0.334E-06
   579      0.792E-08     -0.334E-06
   580      0.950E-08     -0.334E-06
   581      0.111E-07     -0.333E-06
   582      0.127E-07     -0.333E-06
   583      0.143E-07     -0.333E-06
   584      0.159E-07     -0.333E-06
   585      0.175E-07     -0.333E-06
   586      0.191E-07     -0.333E-06
   587      0.208E-07     -0.333E-06
   588      0.224E-07     -0.332E-06
